drachm,dram,
ducked,duct,
elicit,illicit,
emergence,immergence,
emergences,immergences,
epic,epoch,
equivalence,equivalents,
expedience,expedients,
facts,Fax,
fiance,fiancee,
flack,flak,
fleche,flesh,
flecks,flex,
floc,flock,
flocks,phlox,
florescence,fluorescence,fluorescents,
franc,frank,
gradience,gradients,
grievance,grievants,
grocer,grosser,
hic,hick,
hoc,hock,hough,
impotence,impotents,
Inc.,ink,
incandescence,incandescents,
incidence,incidents,
incite,insight,
inciteful,insightful,
incompetence,incompetents,
independence,independents,
indict,indite,
inductance,inductants,
inflection,inflexion,
innocence,innocents,
instance,instants,
insurgence,insurgents,
knickers,nickers,
knock,nock,
kyack,kayak,
lac,lack,
laches,latches,
lacks,lax,
lance,launce,
leach,leech,
leaches,leeches,
lice,lyse,
lichen,liken,
licht,licked,
licker,liquor,
lickers,liquors,
lo-cal,locale,
loch,lock,lakh,lough,
lochs,locks,lox,
luce,loose,
mach,mock,
magnificence,magnificents,
malevolence,malevolents,
marc,mark,marque,
marcs,marks,marques,
micks,mix,
mince,mints,
miscible,missable,
much,mutch,
mucous,mucus,
muscat,musket,
muscle,mussel,
muscles,mussels,
narc,nark,
nice,gneiss,
nickel,nickle,
nicks,nix,
nonexistence,nonexistents,
non-residence,non-residents,
obedience,obedients,
paced,paste,
packed,pact,
packs,pax,
patience,patients,
peace,piece,
pecten,pectin,
penance,pennants,
pencel,pencil,pensile,
penitence,penitents,
permanence,permanents,
phosphorescence,phosphorescents,
pic,pick,
pica,pika,
picks,pix,pyx,
picnic,pyknic,
place,plaice,
pocks,pox,
police,pelisse,
politic,politick,
pomace,pumice,
populace,populous,populus,
preadolescence,preadolescents,
precedence,precedents,
precisian,precision,
presence,presents,
prince,prints,
principal,principle,
prophecy,prophesy,
psychosis,sycosis,
pubescence,pubescents,
quince,quints,
rack,wrack,
racked,wracked,
racket,rackett,racquet,
racking,wracking,
racks,wracks,rax,
radical,radicle,
rancor,ranker,
recede,reseed,
receded,reseeded,
receding,reseeding,
receipt,reseat,
recite,resight,resite,
recited,resighted,resited,
reciting,resighting,resiting,
reck,wreck,
remittance,remittants,
renascence,renascents,
resistance,resistants,
retch,wretch,
roc,rock,
rocky,raki,
sac,sack,sacque,
saccharin,saccharine,
sachet,sashay,
sacks,sacs,sax,
scalar,scaler,
scend,send,
scene,seen,
scold,skald,
scull,skull,
scye,sie,sigh,
sects,sex,
sequence,sequents,
sibilance,sibilants,
sic,sick,
sics,six,
silence,silents,
soccer,socker,
spec,speck,
specks,specs,
stanch,staunch,
statice,status,
sticks,Styx,
succor,sucker,
succulence,succulents,
synching,sinking,
tach,tack,
tacked,tact,
tacks,tax,
terce,terse,
tic,tick,
ticks,tics,tix,
tocsin,toxin,
torcher,torture,
tracked,tract,
troche,trochee,
tucks,tux,
valance,valence,
variance,variants,
vice,vise,
vices,vises,
viscous,viscus,
wack(s),whack(s),wax,
whacks,wax,
which,wich,witch,
whicker,wicker,
wrecks,rex,
yack,yak,
accede,axseed,
accidence,accidents,
ad,add,
adds,ads,adze,
ade,aid,aide,
adherence,adherents,
adieu,ado,
adolescence,adolescents,
adulteress,adulterous,
adventuress,adventurous,
allowed,aloud,
all ready,already (2 words/1 word),
attendance,attendants,
auld,awled,
bached,batched,
bad,bade,
bailed,baled,
baited,bated,
bald,balled,bawled,
band,banned,
bard,barred,
based,baste,
baud,bawd,
billed,build,
bird,burd,burred,
blend,blende,
board,bored,
boarder,border,
bode,bowed,
bodies,body's,
bold,bowled,
bolder,boulder,
bonds,bonze,
braid,brayed,
bread,bred,
brewed,brood,
bridal,bridle,
bundt,bunt,
bused,bussed,bust,
cached,cashed,
caddie,caddy,cadi,
caird,cared,
calendar,calender,
caudal,caudle,
cedar,ceder,seeder,
cede,seed,
ceding,seeding,
chard,charred,
chased,chaste,
chord,cord,cored,
chordate,cordate,
cited,sighted,sited,
clabbered,clapboard,
coddling,codling,
collard,collared,
complemented,complimented,
condescendence,condescendents,
copped,copt,
correspondence,correspondents,
